"","measured_percentN","Measured_Chl","Wave_500","Wave_1600","Wave_2400"
"1",5.07,37.96720125,0.050228648,0.2537874,0.065347137
"2",4.69,27.57852625,0.056963593,0.260426448,0.072829334
"3",4.9,26.450655,0.052844189,0.258159559,0.067083722
"4",4.69,29.07020875,0.052544276,0.257000949,0.064734236
"5",4.56,26.2849125,0.055120493,0.26121986,0.068188274
"6",3.7,11.87121375,0.04673491,0.249790989,0.064535174
"7",4.92,24.74351,0.055154158,0.249743547,0.063859576
"8",4.33,28.958325,0.057864542,0.26782764,0.073002444
"9",5.03,30.84197875,0.046688661,0.255072363,0.064456782
"10",4.41,26.7390475,0.05793811,0.2567801,0.069426707
"11",4.89,34.15680125,0.031490932,0.232062697,0.046715865
"12",4.74,26.92965,0.056323403,0.272563112,0.072043939
"13",4.48,31.28118125,0.057317452,0.263941534,0.070101733
"14",4.46,31.1460875,0.052881104,0.252902959,0.063054879
"15",4.76,26.2285375,0.050008046,0.253231366,0.059953488
"16",4.88,27.46250375,0.047453714,0.250769106,0.061371593
"17",5.03,29.4058325,0.052473247,0.262549685,0.063892283
"18",4.68,31.88945375,0.054678205,0.263571524,0.06917003
"19",4.14,15.82081875,0.060467041,0.251538998,0.065138205
"20",5.09,35.104025,0.056207371,0.259185712,0.069568042
"21",4.31,25.2539925,0.053303098,0.250274325,0.064815323
"22",5.24,28.8787675,0.047352513,0.25611559,0.056136804
"23",4.74,29.351135,0.049997491,0.248263255,0.057135395
"24",4.84,31.98724375,0.06238038,0.267142806,0.070384173
"25",5.03,25.86310375,0.050939889,0.256166072,0.066243041
"26",5.01,33.78720125,0.04642957,0.242173275,0.056009197
"27",5.39,34.59435375,0.055990283,0.250225326,0.065196885
"28",4.96,31.47013375,0.06259066,0.286078854,0.078212029
"29",4.66,32.89053625,0.043820403,0.241259995,0.056323605
"30",3.69,26.32716625,0.045299134,0.24167959,0.055416154
"31",4.49,31.32427375,0.054944947,0.241174461,0.055415919
"32",4.14,25.66089625,0.058665677,0.264497398,0.074353249
"33",4.45,28.01194,0.037806217,0.248467323,0.058479423
"34",3.76,27.85198625,0.04621595,0.243923502,0.057591125
"35",4.94,32.07424,0.056056433,0.261052587,0.068091213
"36",4.55,27.52547875,0.039706523,0.23296924,0.050925969
"37",4.95,26.36365875,0.056878555,0.259465886,0.067822249
"38",5.02,32.1753575,0.049136659,0.250927162,0.060561476
"39",4.84,37.67383125,0.049896933,0.248204457,0.058609042
"40",4.56,28.073298,0.061415589,0.279402386,0.079487811
"41",4.04,23.064161,0.056783709,0.255262598,0.067304834
"42",4.55,30.76905575,0.054216136,0.259027355,0.071001169
"43",4.1,26.04210125,0.043237621,0.260576048,0.066618366
"44",4.09,21.19832,0.057335384,0.262181463,0.065404916
"45",4.13,22.7461375,0.068217797,0.271360615,0.077469449
"46",4.55,24.8429775,0.065864286,0.282492633,0.075299928
"47",3.62,19.409773,0.048836457,0.266533545,0.072721338
"48",4.16,19.90882925,0.049764331,0.259691218,0.067652905
"49",3.96,22.9734175,0.053834151,0.270152066,0.068854452
"50",4.76,25.5531135,0.055730634,0.270075129,0.084139792
"51",4.58,25.955105,0.066341394,0.281083746,0.088827918
"52",4.17,22.9402525,0.051925617,0.255009492,0.066625372
"53",4.54,25.0365655,0.060961226,0.267200051,0.076577675
"54",4.34,23.5751885,0.056953326,0.264129005,0.072602387
"55",4.62,34.26719225,0.053550736,0.266842887,0.072287919
"56",3.36,24.36838675,0.064380735,0.269291614,0.082260862
"57",3.37,19.7049875,0.052402956,0.258992837,0.071196502
"58",3.44,16.57798525,0.054850778,0.256296658,0.072495685
"59",3.75,26.771863,0.050914936,0.263795744,0.070829591
"60",3.74,24.65697775,0.04836793,0.255299002,0.06534082
"61",4.26,23.36472325,0.058740965,0.269194719,0.079185994
"62",3.08,20.74667375,0.063980739,0.284908765,0.085904489
"63",3.7,24.4385625,0.061074855,0.247632999,0.069926117
"64",3.82,26.58893925,0.053489687,0.244508534,0.066264251
"65",5.02,31.972174,0.053976424,0.25100584,0.070841341
"66",4.04,14.267,0.057736309,0.243593799,0.065599544
"67",4.31,16.52284125,0.076226314,0.267956726,0.08899488
"68",5.07,30.62750525,0.054519328,0.263735942,0.075575428
"69",4.4,20.7259395,0.062147762,0.272630627,0.085193948
"70",4.53,24.50237625,0.049295979,0.262627076,0.062883252
"71",4.37,26.376075,0.053997972,0.270183198,0.075246439
"72",4.32,22.40077125,0.067275902,0.2610068,0.078462435
"73",4.49,25.39736375,0.053661849,0.258999486,0.063375093
"74",4.18,18.36828125,0.068928718,0.283460641,0.080378893
"75",3.89,24.70791125,0.055034713,0.25932844,0.069137391
"76",4.38,27.88305425,0.047400081,0.255699976,0.066115585
"77",4.44,20.77735,0.062565225,0.269036288,0.068555498
"78",4.49,25.52831875,0.059651663,0.275047605,0.082417254
"79",4.96,36.21940575,0.049235555,0.26950153,0.06969028
"80",4.55,27.9703605,0.052062522,0.273001698,0.071819972
"81",3.4,24.4998875,0.052437013,0.269274936,0.07464939
"82",4.73,27.2571485,0.047821472,0.252511062,0.061779908
"83",4.86,30.01261,0.040679264,0.260936141,0.060640893
"84",4.33,21.1436225,0.048966321,0.25342284,0.068819367
"85",4.74,25.983265,0.045763575,0.263495679,0.067011649
"86",4.39,32.33150975,0.042682829,0.251895469,0.063515904
"87",3.16,7.53946275,0.073623248,0.273716279,0.081100193
"88",3.66,14.29767625,0.074450937,0.263432982,0.077276934
"89",3,7.624939,0.074443929,0.266889544,0.076657552
"90",3.4,6.72880325,0.07428171,0.249584431,0.077429449
"91",4.31,20.69860375,0.054222915,0.254340786,0.070407356
"92",4.19,23.48471125,0.063981793,0.273560391,0.078277497
"93",4.72,26.6744155,0.055981876,0.263764438,0.076538747
"94",4.05,30.3545455,0.051836362,0.261227635,0.070532497
"95",4.42,23.87836,0.052706012,0.25422664,0.068203328
"96",4.38,26.7125375,0.063816665,0.271165754,0.080392952
"97",3.77,26.9556865,0.058268466,0.2732112,0.078429404
"98",4.05,19.560504,0.055102173,0.241196695,0.064412878
"99",1.85,17.11,0.073764232,0.284390336,0.091806526
"100",1.85,18.61,0.069407084,0.282109006,0.09235448
"101",1.42,7.78,0.06210961,0.273221528,0.077805066
"102",1.42,13.21,0.06901914,0.271645879,0.084432018
"103",1.51,13.37,0.079150674,0.287515381,0.097403544
"104",1.72,14.89,0.079615825,0.287787265,0.094437005
"105",1.53,14.73,0.071063369,0.28438396,0.089421748
"106",2.03,18.58,0.069259296,0.285492849,0.089208466
"107",1.68,17.72,0.058394521,0.28159706,0.082586986
"108",1.96,17.69,0.065150125,0.282116654,0.08912159
"109",1.82,15.71,0.060193729,0.272122935,0.080176895
"110",1.5,14.58,0.071238557,0.27888476,0.082545234
"111",1.57,21.19,0.076862838,0.291214686,0.090434106
"112",1.78,14.05,0.071128223,0.290928763,0.090554933
"113",1.86,17.95,0.078154605,0.29837463,0.097361624
"114",1.66,15.06,0.071370278,0.273299265,0.084574879
"115",1.62,11.75,0.072609075,0.281005819,0.086928921
"116",1.55,9.81,0.071220785,0.282474177,0.092123524
"117",1.4,15.99,0.074311501,0.289944475,0.098854329
"118",1.7,16.62,0.075567597,0.279835797,0.089605106
"119",1.62,14.25,0.065618236,0.273942467,0.081808603
"120",1.93,21.14,0.048433514,0.266843102,0.069089279
"121",1.84,17.49,0.062379831,0.283581434,0.084512115
"122",1.63,14.39,0.06709797,0.28391791,0.08462969
"123",1.76,16.76,0.075051256,0.298236524,0.093105729
"124",4.38,49.22,0.050509752,0.269725023,0.073344056
"125",4.14,42.72,0.060435992,0.274547262,0.07858773
"126",4.36,49.38,0.070356489,0.281799614,0.085801596
"127",3.76,38.85,0.061803879,0.274568012,0.082554859
"128",4.03,35.21,0.059032595,0.280893818,0.079708166
"129",3.81,40.78,0.060762524,0.27886063,0.082741011
"130",4.12,41.72,0.050815138,0.266005456,0.072910093
"131",3.99,24.72,0.061683372,0.29031911,0.086870264
"132",3.94,45.18,0.071827719,0.303066699,0.097216581
"133",4.1,25.07,0.065819555,0.282422515,0.086026288
"134",3.82,41.1,0.066686863,0.287245972,0.089337903
"135",4.5,38.44,0.060666799,0.289464534,0.088462288
"136",4.32,38.8,0.061698585,0.291403085,0.089600908
"137",4.13,27.08,0.04230274,0.275847483,0.079343548
"138",3.67,33.92,0.068678603,0.294902387,0.093328905
"139",3.98,42.93,0.061332242,0.28190096,0.084691662
"140",4.37,48.32,0.065249685,0.298937417,0.094148936
"141",4.09,42.88,0.061434594,0.279425828,0.081139788
"142",3.87,47.92,0.06949673,0.285879662,0.091237118
"143",4.11,45.95,0.062126656,0.284465548,0.088475601
"144",4.5,42.04,0.051991183,0.270114175,0.079445314
"145",4.09,28.39,0.060953438,0.279082751,0.086040579
"146",3.93,38.26,0.052217827,0.269653842,0.077650232
"147",4.08,34.81,0.062086916,0.283401252,0.0874353
"148",1.31,17.83,0.082014907,0.282601099,0.089719712
"149",1.52,14.46,0.08126987,0.281215382,0.086942202
"150",1.48,11.35,0.081237858,0.278224211,0.088052998
"151",1.26,10.44,0.084782862,0.27724658,0.087170245
"152",1.54,16.72,0.076408928,0.282742103,0.087522244
"153",1.51,12.57,0.083023856,0.283777085,0.093875399
"154",1.15,9.47,0.082916735,0.284025029,0.087085993
"155",1.38,10.59,0.073039686,0.269881648,0.079691961
"156",1.47,7.73,0.094812976,0.2728613,0.082340239
"157",1.24,9.86,0.085440911,0.276661625,0.084592901
"158",1.37,10.52,0.083325981,0.280849777,0.088169387
"159",1.21,12.33,0.084423813,0.281807173,0.0850729
"160",1.52,17.24,0.08310621,0.283277038,0.085871694
"161",1.69,15.71,0.071478197,0.275103893,0.081829195
"162",1.6,12.7,0.077416427,0.277685528,0.08777027
"163",1.42,11.94,0.07897432,0.282524751,0.090982057
"164",1.71,12.01,0.073203997,0.275068528,0.08054374
"165",1.89,9.71,0.069482212,0.275689283,0.086035761
"166",1.52,13.52,0.081565968,0.27866461,0.083850988
"167",1.44,10.05,0.081666412,0.283146212,0.090674219
